date,side,entry_time,exit_time,spx_at_entry,spx_at_exit,short_strike,long_strike,qty,credit_received,spread_value_exit,pnl_earned,win,loss,equity_after,vix_level,indicator_value
20220809,CALL,15:52:00,16:00:00,4124.45,4122.65,4130,4135,3,0.15,0.0,39.0,1,0,61969.0,21.77,"vix1550=21.8,dist=1"
20220810,CALL,15:52:00,15:56:00,4207.69,4210.14,4210,4215,7,0.6,0.85,-189.0,0,1,61780.0,19.74,"vix1550=19.8,dist=1,TOUCH@15:56"
20220810,PUT,15:52:00,16:00:00,4207.69,4210.12,4205,4200,8,0.65,0.0,504.0,1,0,62284.0,19.74,"vix1550=19.8,dist=1"
20220811,CALL,15:52:00,16:00:00,4205.74,4207.34,4210,4215,3,0.15,0.0,39.0,1,0,62323.0,20.2,"vix1550=20.4,dist=3"
20220811,PUT,15:52:00,16:00:00,4205.74,4207.34,4200,4195,3,0.1,0.0,24.0,1,0,62347.0,20.2,"vix1550=20.4,dist=3"
20220812,CALL,15:52:00,16:00:00,4273.64,4279.95,4280,4285,3,0.15,0.0,39.0,1,0,62386.0,19.53,"vix1550=19.3,dist=3"
20220812,PUT,15:52:00,16:00:00,4273.64,4279.95,4270,4265,5,0.45,0.0,215.0,1,0,62601.0,19.53,"vix1550=19.3,dist=3"
20220815,CALL,15:52:00,16:00:00,4299.57,4297.14,4305,4310,5,0.25,0.0,115.0,1,0,62716.0,19.95,"vix1550=20.0,dist=3"
20220815,PUT,15:52:00,16:00:00,4299.57,4297.14,4295,4290,3,0.2,0.0,54.0,1,0,62770.0,19.95,"vix1550=20.0,dist=3"
20220816,CALL,15:52:00,16:00:00,4307.91,4305.24,4315,4320,3,0.15,0.0,39.0,1,0,62809.0,19.69,"vix1550=19.6,dist=3"
20220816,PUT,15:52:00,16:00:00,4307.91,4305.24,4300,4295,3,0.1,0.0,24.0,1,0,62833.0,19.69,"vix1550=19.6,dist=3"
20220817,CALL,15:52:00,15:54:00,4269.8,4275.6,4275,4280,5,0.25,1.2,-485.0,0,1,62348.0,19.9,"vix1550=20.1,dist=3,TOUCH@15:54"
20220817,PUT,15:52:00,16:00:00,4269.8,4274.06,4265,4260,5,0.3,0.0,140.0,1,0,62488.0,19.9,"vix1550=20.1,dist=3"
20220818,CALL,15:52:00,16:00:00,4282.94,4284.15,4285,4290,7,0.55,0.0,371.0,1,0,62859.0,19.56,"vix1550=19.5,dist=1"
20220818,PUT,15:52:00,16:00:00,4282.94,4284.15,4280,4275,7,0.6,0.0,406.0,1,0,63265.0,19.56,"vix1550=19.5,dist=1"
20220819,CALL,15:52:00,16:00:00,4231.29,4228.37,4235,4240,8,0.75,0.0,584.0,1,0,63849.0,20.6,"vix1550=20.6,dist=3"
20220819,PUT,15:52:00,16:00:00,4231.29,4228.37,4225,4220,5,0.35,0.0,165.0,1,0,64014.0,20.6,"vix1550=20.6,dist=3"
20220822,CALL,15:52:00,16:00:00,4139.56,4138.37,4145,4150,5,0.3,0.0,140.0,1,0,64154.0,23.8,"vix1550=24.1,dist=5"
20220822,PUT,15:52:00,16:00:00,4139.56,4138.37,4130,4125,3,0.1,0.0,24.0,1,0,64178.0,23.8,"vix1550=24.1,dist=5"
20220823,CALL,15:52:00,16:00:00,4127.74,4128.71,4135,4140,3,0.15,0.0,39.0,1,0,64217.0,24.11,"vix1550=23.9,dist=3"
20220823,PUT,15:52:00,16:00:00,4127.74,4128.71,4120,4115,3,0.1,0.0,24.0,1,0,64241.0,24.11,"vix1550=23.9,dist=3"
20220824,CALL,15:52:00,16:00:00,4145.72,4140.99,4150,4155,3,0.15,0.0,39.0,1,0,64280.0,22.82,"vix1550=22.8,dist=3"
20220824,PUT,15:52:00,16:00:00,4145.72,4140.99,4140,4135,3,0.1,0.0,24.0,1,0,64304.0,22.82,"vix1550=22.8,dist=3"
20220825,CALL,15:52:00,15:57:00,4188.97,4197.05,4195,4200,5,0.3,1.45,-585.0,0,1,63719.0,21.78,"vix1550=22.0,dist=3,TOUCH@15:57"
20220825,PUT,15:52:00,16:00:00,4188.97,4199.52,4185,4180,5,0.3,0.0,140.0,1,0,63859.0,21.78,"vix1550=22.0,dist=3"
20220826,CALL,15:52:00,16:00:00,4064.84,4057.74,4070,4075,5,0.4,0.0,190.0,1,0,64049.0,25.56,"vix1550=25.6,dist=5"
20220829,PUT,15:52:00,15:59:00,4041.1,4030.95,4035,4030,5,0.25,0.8,-285.0,0,1,63764.0,26.21,"vix1550=26.0,dist=3,TOUCH@15:59"
20220829,CALL,15:52:00,16:00:00,4041.1,4030.76,4045,4050,8,0.7,0.0,544.0,1,0,64308.0,26.21,"vix1550=26.0,dist=3"
20220831,PUT,15:52:00,15:55:00,3971.04,3963.87,3965,3960,5,0.5,1.15,-335.0,0,1,63973.0,25.87,"vix1550=25.6,dist=5,TOUCH@15:55"
20220831,CALL,15:52:00,16:00:00,3971.04,3955.02,3980,3985,5,0.2,0.0,90.0,1,0,64063.0,25.87,"vix1550=25.6,dist=5"
20220902,CALL,15:52:00,15:59:00,3915.44,3925.29,3925,3930,3,0.15,0.25,-36.0,0,1,64027.0,25.47,"vix1550=25.8,dist=5,TOUCH@15:59"
20220902,PUT,15:52:00,16:00:00,3915.44,3924.41,3910,3905,8,0.65,0.0,504.0,1,0,64531.0,25.47,"vix1550=25.8,dist=5"
20220907,CALL,15:52:00,16:00:00,3982.85,3979.99,3990,3995,5,0.35,0.0,165.0,1,0,64696.0,24.64,"vix1550=24.6,dist=5"
20220907,PUT,15:52:00,16:00:00,3982.85,3979.99,3975,3970,5,0.35,0.0,165.0,1,0,64861.0,24.64,"vix1550=24.6,dist=5"
20220908,CALL,15:52:00,15:54:00,3994.25,4002.19,4000,4005,7,0.55,1.35,-574.0,0,1,64287.0,23.61,"vix1550=23.9,dist=5,TOUCH@15:54"
20220908,PUT,15:52:00,16:00:00,3994.25,4006.09,3985,3980,3,0.2,0.0,54.0,1,0,64341.0,23.61,"vix1550=23.9,dist=5"
20220909,CALL,15:52:00,16:00:00,4068.32,4067.41,4075,4080,7,0.55,0.0,371.0,1,0,64712.0,22.79,"vix1550=22.9,dist=5"
20220909,PUT,15:52:00,16:00:00,4068.32,4067.41,4060,4055,5,0.25,0.0,115.0,1,0,64827.0,22.79,"vix1550=22.9,dist=5"
20220912,CALL,15:52:00,15:59:00,4105.57,4110.92,4110,4115,8,0.7,0.7,-16.0,0,1,64811.0,23.87,"vix1550=24.0,dist=3,TOUCH@15:59"
20220912,PUT,15:52:00,16:00:00,4105.57,4110.69,4100,4095,5,0.5,0.0,240.0,1,0,65051.0,23.87,"vix1550=24.0,dist=3"
20220919,CALL,15:52:00,15:59:00,3893.06,3900.24,3900,3905,5,0.35,1.15,-410.0,0,1,64641.0,25.76,"vix1550=25.9,dist=5,TOUCH@15:59"
20220919,PUT,15:52:00,16:00:00,3893.06,3900.0,3885,3880,5,0.35,0.0,165.0,1,0,64806.0,25.76,"vix1550=25.9,dist=5"
20221028,CALL,15:52:00,16:00:00,3902.06,3901.04,3910,3915,3,0.15,0.0,39.0,1,0,64845.0,25.75,"vix1550=25.9,dist=5"
20221028,PUT,15:52:00,16:00:00,3902.06,3901.04,3895,3890,3,0.2,0.0,54.0,1,0,64899.0,25.75,"vix1550=25.9,dist=5"
20221031,CALL,15:52:00,16:00:00,3872.73,3872.25,3880,3885,5,0.35,0.0,165.0,1,0,65064.0,25.88,"vix1550=26.0,dist=3"
20221031,PUT,15:52:00,16:00:00,3872.73,3872.25,3865,3860,5,0.25,0.0,115.0,1,0,65179.0,25.88,"vix1550=26.0,dist=3"
20221102,CALL,15:52:00,16:00:00,3766.2,3759.48,3775,3780,8,0.7,0.0,544.0,1,0,65723.0,25.86,"vix1550=25.9,dist=5"
20221103,PUT,15:52:00,15:57:00,3725.71,3718.95,3720,3715,5,0.3,1.65,-685.0,0,1,65038.0,25.3,"vix1550=25.2,dist=5,TOUCH@15:57"
20221107,CALL,15:52:00,16:00:00,3807.68,3807.13,3815,3820,3,0.15,0.0,39.0,1,0,65077.0,24.35,"vix1550=24.5,dist=5"
20221107,PUT,15:52:00,16:00:00,3807.68,3807.13,3800,3795,3,0.15,0.0,39.0,1,0,65116.0,24.35,"vix1550=24.5,dist=5"
20221111,CALL,15:52:00,16:00:00,3997.15,3993.05,4005,4010,5,0.3,0.0,140.0,1,0,65256.0,22.52,"vix1550=22.4,dist=5"
20221111,PUT,15:52:00,16:00:00,3997.15,3993.05,3990,3985,5,0.3,0.0,140.0,1,0,65396.0,22.52,"vix1550=22.4,dist=5"
20221114,PUT,15:52:00,15:53:00,3973.62,3968.94,3970,3965,7,0.55,1.2,-469.0,0,1,64927.0,23.73,"vix1550=23.7,dist=3,TOUCH@15:53"
20221114,CALL,15:52:00,16:00:00,3973.62,3957.53,3980,3985,5,0.3,0.0,140.0,1,0,65067.0,23.73,"vix1550=23.7,dist=3"
20221115,CALL,15:52:00,15:59:00,3984.83,3991.83,3990,3995,8,0.8,0.7,64.0,1,0,65131.0,24.54,"vix1550=24.3,dist=5,TOUCH@15:59"
20221115,PUT,15:52:00,16:00:00,3984.83,3991.91,3975,3970,5,0.4,0.0,190.0,1,0,65321.0,24.54,"vix1550=24.3,dist=5"
20221116,CALL,15:52:00,16:00:00,3965.55,3959.1,3970,3975,7,0.6,0.0,406.0,1,0,65727.0,24.11,"vix1550=24.2,dist=3"
20221116,PUT,15:52:00,16:00:00,3965.55,3959.1,3960,3955,5,0.5,0.9,-210.0,0,1,65517.0,24.11,"vix1550=24.2,dist=3"
20221117,PUT,15:52:00,16:00:00,3940.39,3946.86,3935,3930,5,0.35,0.0,165.0,1,0,65682.0,23.93,"vix1550=24.0,dist=5"
20221118,PUT,15:52:00,15:53:00,3970.7,3963.54,3965,3960,5,0.25,0.85,-310.0,0,1,65372.0,23.12,"vix1550=23.0,dist=3,TOUCH@15:53"
20221118,CALL,15:52:00,16:00:00,3970.7,3965.48,3975,3980,7,0.6,0.0,406.0,1,0,65778.0,23.12,"vix1550=23.0,dist=3"
20221121,PUT,15:52:00,16:00:00,3952.22,3949.99,3945,3940,3,0.15,0.0,39.0,1,0,65817.0,22.36,"vix1550=22.4,dist=3"
20221123,CALL,15:52:00,16:00:00,4026.47,4027.46,4030,4035,5,0.5,0.0,240.0,1,0,66057.0,20.35,"vix1550=20.5,dist=1"
20221123,PUT,15:52:00,16:00:00,4026.47,4027.46,4025,4020,8,0.75,0.0,584.0,1,0,66641.0,20.35,"vix1550=20.5,dist=1"
20221128,PUT,15:52:00,16:00:00,3960.88,3964.02,3955,3950,3,0.1,0.0,24.0,1,0,66665.0,22.21,"vix1550=22.2,dist=5"
20221129,CALL,15:52:00,16:00:00,3954.93,3957.43,3960,3965,5,0.25,0.0,115.0,1,0,66780.0,21.89,"vix1550=21.8,dist=1"
20221129,PUT,15:52:00,16:00:00,3954.93,3957.43,3950,3945,5,0.3,0.0,140.0,1,0,66920.0,21.89,"vix1550=21.8,dist=1"
20221201,PUT,15:52:00,15:55:00,4083.47,4077.17,4080,4075,5,0.4,1.2,-410.0,0,1,66510.0,19.84,"vix1550=19.8,dist=3,TOUCH@15:55"
20221202,CALL,15:52:00,15:56:00,4063.84,4071.47,4070,4075,5,0.4,1.4,-510.0,0,1,66000.0,19.06,"vix1550=19.1,dist=3,TOUCH@15:56"
20221202,PUT,15:52:00,16:00:00,4063.84,4071.63,4060,4055,8,0.65,0.0,504.0,1,0,66504.0,19.06,"vix1550=19.1,dist=3"
20221205,CALL,15:52:00,15:57:00,3994.37,4000.72,4000,4005,5,0.35,0.9,-285.0,0,1,66219.0,20.75,"vix1550=20.9,dist=3,TOUCH@15:57"
20221205,PUT,15:52:00,16:00:00,3994.37,3998.82,3990,3985,7,0.55,0.0,371.0,1,0,66590.0,20.75,"vix1550=20.9,dist=3"
20221206,CALL,15:52:00,16:00:00,3941.98,3941.23,3950,3955,3,0.1,0.0,24.0,1,0,66614.0,22.17,"vix1550=22.0,dist=5"
20221207,CALL,15:52:00,15:55:00,3931.31,3935.84,3935,3940,5,0.5,0.95,-235.0,0,1,66379.0,22.68,"vix1550=22.6,dist=3,TOUCH@15:55"
20221207,PUT,15:52:00,16:00:00,3931.31,3933.78,3925,3920,3,0.2,0.0,54.0,1,0,66433.0,22.68,"vix1550=22.6,dist=3"
20221208,CALL,15:52:00,15:55:00,3954.48,3960.99,3960,3965,5,0.3,1.2,-460.0,0,1,65973.0,22.29,"vix1550=22.4,dist=3,TOUCH@15:55"
20221208,PUT,15:52:00,16:00:00,3954.48,3963.45,3950,3945,5,0.4,0.0,190.0,1,0,66163.0,22.29,"vix1550=22.4,dist=3"
20221209,CALL,15:52:00,16:00:00,3934.59,3934.29,3940,3945,5,0.3,0.0,140.0,1,0,66303.0,22.83,"vix1550=22.6,dist=3"
20221209,PUT,15:52:00,16:00:00,3934.59,3934.29,3930,3925,8,0.65,0.0,504.0,1,0,66807.0,22.83,"vix1550=22.6,dist=3"
20221212,PUT,15:52:00,16:00:00,3980.59,3990.59,3975,3970,5,0.25,0.0,115.0,1,0,66922.0,25.0,"vix1550=25.0,dist=5"
20221213,CALL,15:52:00,16:00:00,4029.82,4019.95,4035,4040,8,0.7,0.0,544.0,1,0,67466.0,22.55,"vix1550=22.5,dist=5"
20221213,PUT,15:52:00,16:00:00,4029.82,4019.95,4020,4015,5,0.25,0.05,90.0,1,0,67556.0,22.55,"vix1550=22.5,dist=5"
20221215,CALL,15:52:00,16:00:00,3894.38,3896.1,3900,3905,8,0.65,0.0,504.0,1,0,68060.0,22.83,"vix1550=22.9,dist=5"
20221215,PUT,15:52:00,16:00:00,3894.38,3896.1,3885,3880,5,0.3,0.0,140.0,1,0,68200.0,22.83,"vix1550=22.9,dist=5"
20221220,CALL,15:52:00,16:00:00,3825.23,3821.73,3830,3835,5,0.3,0.0,140.0,1,0,68340.0,21.48,"vix1550=21.5,dist=3"
20221220,PUT,15:52:00,16:00:00,3825.23,3821.73,3820,3815,5,0.3,0.0,140.0,1,0,68480.0,21.48,"vix1550=21.5,dist=3"
